lng,lat,maydoni,xonalar_soni,kv_qavat,qavatlar_soni,tuman,manzil,narxi
69.2087824,41.2948119,42.0,1,5,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",35000
69.2087824,41.2948119,26.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",23500
69.1789807,41.2771751,76.0,4,5,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",60500
69.1819609,41.2657122,80.0,3,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал 20Д",68000
69.20291280000001,41.2985011,72.0,3,5,5,Chilonzor,"город Ташкент, Chilonzor район, 1-й проезд Лутфи",41500
69.1804708,41.2978921,100.0,4,3,12,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",55000
69.1909015,41.2770171,65.0,3,4,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",44000
69.1909015,41.2770171,80.0,4,3,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",52500
69.1804708,41.2978921,72.0,3,6,9,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",43000
69.2785087,41.2991561,65.0,2,1,4,Mirobod,"город Ташкент, Mirobod район, Тараса Шевченко",80000
69.2415634,41.2673079,63.0,2,1,5,Yakkasaroy,"город Ташкент, Yakkasaroy район, Кушбеги",42000
69.2415634,41.2673079,48.0,2,5,9,Yakkasaroy,"город Ташкент, Yakkasaroy район, Кушбеги",23000
69.3190425,41.3707855,70.0,3,3,4,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 18-й квартал",47000
69.2552666,41.2818558,102.0,3,7,12,Yakkasaroy,"город Ташкент, Yakkasaroy район, Бабура",88784
69.1804708,41.2978921,78.0,4,2,4,Uchtepa,"город Ташкент, Uchtepa район, Гулистон",65000
69.1804708,41.259418,100.0,4,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал И",97000
69.1849411,41.2710841,34.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",28500
69.1968618,41.2829494,42.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",34500
69.182706,41.2953086,80.0,4,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",51000
69.1804708,41.2978921,90.0,3,1,12,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",51000
69.223683,41.2807837,45.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",48000
69.162198,41.260048,70.0,3,5,5,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",40000
69.2058023,41.2798237,96.0,4,7,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал Ц",67000
69.1670599,41.2797359,80.0,4,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",68000
69.1760005,41.2814223,63.0,2,1,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",40500
69.1789807,41.2867929,56.0,2,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",54000
69.1692951,41.2879715,52.0,2,1,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 22-й квартал",36000
69.1879213,41.281265,98.0,3,2,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",68000
69.2534409,41.3068527,96.0,3,9,9,Chilonzor,"город Ташкент, Chilonzor район, Бешёгоч",63000
69.2102725,41.3275402,93.0,4,4,4,Shayhontohur,"город Ташкент, Shayhontohur район, Актепа",63500
69.2824454,41.3365221,60.0,2,9,9,Shayhontohur,"город Ташкент, Shayhontohur район, Международный деловой центр Tashkent City",49500
69.162198,41.260048,82.0,5,4,4,Chilonzor,"город Ташкент, Chilonzor район, Chilonzor район массив Аль-Хорезми-2",70000
69.1789807,41.2867929,120.0,5,9,9,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 23-й квартал",52000
69.182706,41.2953086,110.0,4,3,3,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 15-й квартал",91000
69.2288981,41.2847707,95.0,4,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",83000
69.223683,41.265874,56.0,2,1,4,Uchtepa,"город Ташкент, Uchtepa район, 4-й проезд Курувчи",40500
69.2290098,41.2885649,68.0,3,3,4,Chilonzor,"город Ташкент, Chilonzor район, Мукими",48000
69.2475235,41.3333453,57.0,2,3,4,Olmzor,"город Ташкент, Olmzor район, Себзар",42000
69.3235123,41.286283,46.0,1,11,11,Yashnobod,"город Ташкент, Yashnobod район, Жаркургон",19765
69.223683,41.2807837,45.0,2,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",34500
69.2840285,41.3804352,40.0,2,1,9,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 10-й квартал",40000
69.3875774,41.3427418,95.0,3,5,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Хумаюн",50000
69.2773236,41.3197131,53.0,2,1,9,Yunusobod,"город Ташкент, Yunusobod район, Кашгар",68000
69.243806,41.3376966,72.0,2,4,9,Olmzor,"город Ташкент, Olmzor район, Карасарайская",41500
69.3230626,41.3215876,65.0,3,4,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буз-1 (Буз базар) ",41500
69.2773236,41.3197131,82.0,4,1,4,Yunusobod,"город Ташкент, Yunusobod район, ц-4 Кашгар (Ц-4) ",86000
69.1804708,41.259418,42.0,1,3,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",25500
69.1804708,41.259418,54.0,2,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",31500
69.1804708,41.259418,42.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",26500
69.1804708,41.2978921,20.0,1,3,9,Uchtepa,"город Ташкент, Uchtepa район, Гулистон",14500
69.2117625,41.2857552,45.0,2,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",45000
69.1804708,41.259418,46.0,1,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",30000
69.1804708,41.259418,50.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",34500
69.1804708,41.259418,36.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",27000
69.1879213,41.281265,80.0,4,6,9,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 12-й квартал",59500
69.2143264,41.3239274,72.0,3,3,9,Uchtepa,"город Ташкент, Uchtepa район, Кизил Шарк",48000
69.1670599,41.2797359,78.0,4,5,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 25-й квартал",47299
69.162198,41.260048,46.0,2,4,5,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",37000
69.2058023,41.2894422,60.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-8",38000
69.2187028,41.3638683,58.0,2,5,9,Olmzor,"город Ташкент, Olmzor район, 15-й проезд Сагбан",29500
69.1968618,41.2829494,70.0,2,2,7,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 10-й квартал",56000
69.2489174,41.2788969,68.0,2,6,9,Yakkasaroy,"город Ташкент, Yakkasaroy район, 1-й проезд Мукими",45000
69.1804708,41.2978921,100.0,4,3,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",61500
69.2290098,41.2885649,68.0,3,5,5,Chilonzor,"город Ташкент, Chilonzor район, Мукими",46500
69.1804708,41.2978921,70.0,3,4,12,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",51000
69.162198,41.260048,90.0,3,5,9,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",58400
69.162198,41.260048,60.0,3,5,5,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",47000
69.1804708,41.2978921,80.0,4,5,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",52500
69.1804708,41.2978921,74.0,3,3,5,Uchtepa,"город Ташкент, Uchtepa район, Гулистон",50000
69.2288981,41.2847707,48.0,2,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 1-й квартал",41500
69.162198,41.260048,94.0,4,9,9,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",45000
69.1760005,41.2814223,65.0,3,4,9,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",47500
69.1804708,41.259418,85.0,4,3,4,Chilonzor,"город Ташкент, Chilonzor район, Наккашлык",52500
69.1760005,41.2814223,42.0,1,5,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",26000
69.2058023,41.2798237,110.0,4,3,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал Ц",105000
69.1916465,41.2729489,70.0,3,4,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар квартал Г9А",42000
69.2058023,41.2894422,68.0,3,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",53500
69.2415634,41.2673079,48.0,2,5,9,Yakkasaroy,"город Ташкент, Yakkasaroy район, Кушбеги",23000
69.3078679,41.3080076,20.0,1,3,3,Yashnobod,"город Ташкент, Yashnobod район, Ташсельмаш",12500
69.2785087,41.2991561,110.0,3,4,7,Mirobod,"город Ташкент, Mirobod район, Тараса Шевченко",107000
69.1849411,41.2710841,46.0,2,3,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",35000
69.2058023,41.2798237,125.0,4,5,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал Ц",70000
69.2942247,41.3180348,72.0,2,18,19,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, площадь Хамида Алимджана",55000
69.3473509,41.3292204,64.67,2,7,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Алтынтепа",39414
69.4292923,41.4153867,70.0,2,4,9,Yunusobod,"город Ташкент, Yunusobod район, Чинабад",60000
69.2773236,41.3245206,50.0,1,7,9,Yunusobod,"город Ташкент, Yunusobod район, Киёт",37000
69.3246635,41.319567,51.0,2,2,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",49000
69.3675816,41.3576548,22.0,1,1,2,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Феруза",18000
69.2177228,41.2916859,54.0,2,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",42500
69.2177228,41.2916859,30.0,1,3,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",34500
69.1849411,41.2710841,42.0,1,5,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 19-й квартал",37000
69.262388,41.296195,70.0,3,2,4,Yakkasaroy,"город Ташкент, Yakkasaroy район, Тафаккур",70000
69.2312263,41.3162377,68.0,3,2,4,Shayhontohur,"город Ташкент, Shayhontohur район, Самарканд Дарвоза",45800
69.2087824,41.2948119,30.0,1,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",24000
69.1909015,41.2962523,52.0,1,1,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 14-й квартал",58000
69.200587,41.274633,72.0,4,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",55500
69.200587,41.274633,76.0,4,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",68000
69.1760005,41.2814223,48.0,2,4,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 24-й квартал",31000
69.162198,41.260048,66.0,2,3,9,Chilonzor,"город Ташкент, Chilonzor район, Аль-Хорезми-2",47000
69.2058023,41.2798237,60.0,3,3,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал Ц",47000
69.2117625,41.2857552,37.0,2,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",41000
69.3389519,41.3392308,40.0,1,3,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Муминова",24000
69.2892434,41.3700057,61.0,2,1,4,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 11-й квартал",55000
69.2169777,41.2837307,32.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 4-й квартал",28500
69.200587,41.274633,65.0,3,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 16-й квартал",42000
69.1839655,41.2902787,66.0,3,2,5,Uchtepa,"город Ташкент, Uchtepa район, Чупон-Ота",67000
69.2177228,41.2916859,70.0,3,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",46500
69.2152083,41.2773103,66.0,3,4,4,Chilonzor,"город Ташкент, Chilonzor район, Катта козиробод",50500
69.1909015,41.2770171,65.0,3,1,4,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",40000
69.3415733,41.2785565,37.0,1,5,8,Yashnobod,"город Ташкент, Yashnobod район, 1-й проезд Иззат",13071
69.3473509,41.3292204,69.65,2,4,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Алтынтепа",45188
69.1909015,41.2770171,88.0,4,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",53000
69.2415634,41.2673079,38.0,1,2,5,Yakkasaroy,"город Ташкент, Yakkasaroy район, Кушбеги",25600
69.275364,41.295316,61.0,2,6,9,Mirobod,"город Ташкент, Mirobod район, Госпитальный",52000
69.3323894,41.3462538,45.0,2,3,7,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Навнихол",44000
69.2251673,41.2202309,69.0,3,2,9,Sergeli,"город Ташкент, Sergeli район, Сергели-VII",40000
69.3473509,41.3292204,55.13,2,5,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Алтынтепа",35226
69.2058023,41.2894422,67.0,3,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 8-й квартал",54000
69.1952565,41.3268984,38.0,1,5,5,Shayhontohur,"город Ташкент, Shayhontohur район, 1-й проезд Генерала Узакова",22500
69.3726789,41.3375577,67.0,2,2,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",36500
69.2582738,41.2892951,54.0,2,4,9,Yakkasaroy,"город Ташкент, Yakkasaroy район, пр-т Бабура",40000
69.1804708,41.259418,58.0,2,1,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар квартал 20А",35000
69.275878,41.296644,100.0,4,5,8,Mirobod,"город Ташкент, Mirobod район, Фидокор (Чехова) ",142000
69.2290098,41.2885649,90.0,4,4,5,Chilonzor,"город Ташкент, Chilonzor район, Мукими",52000
69.2281531,41.3645355,91.0,3,3,3,Olmzor,"город Ташкент, Olmzor район, ул  ХУРРИЯТ 75",85000
69.2611824,41.327974,111.0,4,7,8,Shayhontohur,"город Ташкент, Shayhontohur район, 1-й проезд Лабзак",110000
69.2117625,41.2304214,54.0,2,6,7,Sergeli,"город Ташкент, Sergeli район, Сергели 6 А дом 9 кв 53",36000
69.2400734,41.2994958,69.0,3,5,5,Yashnobod,"город Ташкент, Yashnobod район, жилой комплекс У.М. Шахидов 58-й городок",52000
69.307123,41.3709551,107.0,5,5,5,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 14-й квартал",50000
69.3851063,41.3539037,80.0,3,2,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Массив А. Югнакий",55000
69.2773236,41.3653679,63.0,2,5,9,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 4 квартал",42000
69.2687,41.3021647,74.0,3,5,16,Mirobod,"город Ташкент, Mirobod район, Жемчуг",69000
69.3659745,41.294821,58.0,2,5,5,Yashnobod,"город Ташкент, Yashnobod район, 40 лет тузел-3 Франция",28900
69.3228615,41.3146381,62.0,2,9,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Паркентский",34000
69.3328133,41.3466485,107.0,3,2,8,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, жилой комплекс Goldhill",85000
69.1689332,41.3488728,40.41,1,2,4,Olmzor,"город Ташкент, Olmzor район, ТашПИ",25000
69.2125566,41.2828581,54.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Мирзо Улуғбек метро",39000
69.2922234,41.3104865,40.0,1,1,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, ц-1 Буюк ипак йули (Ц-1) ",60000
69.34359,41.3357758,50.0,2,1,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Дурмон йули",36500
69.3159192,41.3123276,75.0,3,5,9,Yashnobod,"город Ташкент, Yashnobod район, Мавлоно Риёзи",42000
69.3235746,41.3133669,84.0,3,7,8,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Паркент",85000
69.2993794,41.3203273,117.0,3,2,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Ирригатор",125000
69.3246635,41.319567,70.0,3,5,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буз-2 (Буз) ",37000
69.303727,41.3209122,47.0,1,2,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, проспект Мустакиллик",42000
69.1961168,41.271386,56.0,2,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-17",36000
69.200587,41.274633,42.0,1,3,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-16",28000
69.1804708,41.259418,60.0,2,5,9,Chilonzor,"город Ташкент, Chilonzor район",34000
69.2117625,41.2857552,32.0,1,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-6",28500
69.1804708,41.259418,42.0,1,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",28500
69.1804708,41.259418,60.0,2,2,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",34500
69.1804708,41.259418,54.0,2,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",34500
69.1968618,41.2901628,42.0,1,1,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-9",25500
69.1804708,41.259418,60.0,2,2,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",43500
69.2638823,41.3051824,72.0,2,7,9,Mirobod,"город Ташкент, Mirobod район, Афросиаб (пр-т Косманавтов) ",63000
69.3419071,41.2922516,80.0,3,1,4,Yashnobod,"город Ташкент, Yashnobod район, Городок Авиастроителей-4",39999
69.2060703,41.2780874,33.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Кошчинар",24500
69.3101022,41.3693331,61.0,2,3,5,Yunusobod,"город Ташкент, Yunusobod район, Улица Янги Юнусобод",41000
69.2922234,41.3104865,187.0,4,2,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буюк Ипак Йули",210000
69.3726789,41.3375577,63.0,2,5,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Карасу 1-й квартал",36000
69.2475235,41.3333453,60.0,2,5,5,Olmzor,"город Ташкент, Olmzor район, Себзар",34000
69.2222748,41.2830467,29.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Торговый центр",23000
69.3644846,41.3318205,63.0,2,5,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Карасу 2-й квартал",36000
69.1789807,41.2771751,48.0,2,4,5,Uchtepa,"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",28500
69.1647666,41.262123,45.0,2,4,4,Chilonzor,"город Ташкент, Chilonzor район, Корзинка",47000
69.2261213,41.3390184,122.0,4,5,5,Olmzor,"город Ташкент, Olmzor район, обводная  Нурафшон",95000
69.2773236,41.3245206,42.0,1,2,4,Yunusobod,"город Ташкент, Yunusobod район, Киёт",44000
69.2910424,41.3137673,50.0,2,1,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Шастри",45000
69.3585936,41.3550649,100.0,5,4,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Феруза-1",48000
69.293391,41.314662,60.0,2,4,4,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буюк Ипак йули (Луначарское) ",32000
69.2601933,41.2911414,50.0,2,2,4,Yakkasaroy,"город Ташкент, Yakkasaroy район, Шота Руставели",47000
69.3013967,41.3200874,78.0,3,5,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Дархан",70500
69.2460335,41.2765672,164.0,4,5,6,Yakkasaroy,"город Ташкент, Yakkasaroy район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",170000
69.3875774,41.3427418,60.0,2,3,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Хумаюн",30500
69.1804708,41.259418,42.0,1,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",26000
69.2117625,41.2857552,70.0,3,4,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-6",37500
69.2116463,41.2829101,35.0,1,1,5,Chilonzor,"город Ташкент, Chilonzor район, Метро Мирзо Улугбек",26500
69.2087824,41.2948119,47.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-7",32000
69.1804708,41.259418,36.0,1,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",26500
69.1968618,41.2829494,50.0,2,2,5,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-10",34500
69.2117625,41.2857552,52.0,2,2,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-6",36500
69.3437258,41.2535107,46.0,2,2,4,Yashnobod,"город Ташкент, Yashnobod район, Оханграбо",24500
69.2058023,41.2894422,92.0,3,3,9,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар-8",42500
69.1804708,41.259418,70.0,3,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар",46000
69.2981832,41.3692799,70.0,3,2,4,Yunusobod,"город Ташкент, Yunusobod район, Юнусабад 13-й квартал",38500
69.3234929,41.31512,60.0,2,7,8,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Паркентская (Генерала Петрова) ",36000
69.3246635,41.319567,55.0,2,3,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Буз 2",35000
69.3234929,41.31512,63.0,2,4,9,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Паркентская (Генерала Петрова) ",55500
69.2552666,41.2818558,89.0,2,4,12,Yakkasaroy,"город Ташкент, Yakkasaroy район, Бабура",81772
69.2552666,41.2818558,55.0,1,1,12,Yakkasaroy,"город Ташкент, Yakkasaroy район, Бабура",50533
69.3473509,41.3292204,100.0,3,2,6,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Ул.Кора Ниязова",119000
69.3875774,41.3475495,208.0,4,2,3,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Ахмад Югнаки",93000
69.1909015,41.2770171,35.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Uchtepa район массив Чиланзар 11-й квартал",23800
69.2087824,41.2948119,44.0,2,3,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",32900
69.2281531,41.210633,61.0,2,3,7,Yangihayot,"город Ташкент, Yangihayot район, Сергели 9а",36000
69.3235123,41.286283,100.0,4,2,9,Yashnobod,"город Ташкент, Yashnobod район, Массив Риёзи",65000
69.2058023,41.2894422,35.0,1,1,4,Chilonzor,"город Ташкент, Chilonzor район, Чиланзар 8 квартал",29800
69.3602729,41.3351692,86.0,4,3,5,Mirzo Ulugbek,"город Ташкент, Mirzo Ulugbek район, Газалкент",63000
